OBJECTID,TYPE,Status,Comments,Date_Modified,Name,Name_Source,Update_Author,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Length
18,Water Body Centerline,Update,Merge,2011-06-17T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,c0ebb65c-4372-47e1-a5d2-5681f3a70f8a,606.678398519106
19,Water Body Centerline,Update,Merge,2011-06-17T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,32912d18-ab1e-4f75-9b51-19e5650ddf49,4652.33495610197
20,Water Body Centerline,Update,Merge,2011-04-26T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,6e8462ee-6310-4c7f-9c0b-1ff47a919e61,1302.72045955445
21,Water Body Centerline,Update,Merge,2011-06-17T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,181d1f53-ac8c-4a7e-9ac9-715c258f1fd8,33799.1435455901
22,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,dbc508fb-4434-49bc-9c42-48ad22310562,32.0190809404028
23,Water Body Centerline,Update,,2011-06-14T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,669bf2ad-3b49-4f9d-9cb8-e3cfacd4a3a0,3536.30169143553
24,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,ae9f79f9-c1ca-43f7-962c-888eea20dfe7,45.9245097394668
25,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,fb20dee6-d976-4ba4-85f9-e1cf8f73484b,688.121777450039
26,Water Body Centerline,Update,Merge,2011-04-26T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,aa6cd436-20d6-410e-997b-823472e7e48d,7952.17719540105
27,Water Body Centerline,Update,Merge,2011-04-26T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,3ff057ab-274c-48ce-9a72-da5634cf3c38,8007.5738295835
28,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,97f8ccd0-867f-49c9-acd5-0fb38ae65c91,40.5051919845505
29,Water Body Centerline,Update,Merge,2011-04-26T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,dc33dfaf-2e30-4cfe-be5d-b363dc419619,2770.95535392227
30,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,062b1865-02ad-401b-ad3d-24bb2630e810,84.7611576782184
31,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,40733324-36ff-495b-a729-5007760f01a5,43.4211696406438
32,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,883c0278-8a40-4bcf-8f1a-a323fb6861fb,79.5514412837094
33,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,3441e511-f4f9-4535-8a2a-de03c205f770,37.5526030894307
34,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,64fcb906-23cd-4cf3-8ac4-7ec647055909,15.5998364100756
35,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,07a6c9e8-f94f-4a6c-9554-7d468db68ce9,18.4652438254475
36,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,9ec7564e-41ef-4adf-9eb4-a93674d38f00,55.1605500988652
37,Water Body Centerline,Update,,2011-06-17T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,4d4e01ab-73bf-43a9-89c2-e091605a127c,928.512434448549
38,Water Body Centerline,Update,Merge,2012-12-04T00:00:00.000Z,Kickapoo Creek,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,4b56684c-5166-4608-937c-82b5114e657f,234150.831849513
39,Water Body Centerline,Update,Merge,2011-04-26T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,1f8b1f99-225d-4951-8ae0-2a0b6f518b74,4871.49266022092
40,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,cf454202-0ada-4ada-a233-8470d641c96d,44.0927819468385
41,Water Body Centerline,Update,Merge,2011-04-26T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,8fd22697-5aea-4973-b4b1-d48f714628e7,7669.09467885129
42,Water Body Centerline,Update,Merge,2011-06-17T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,cc670196-1ba1-4a01-81ff-70a17336eaf8,4801.55443403051
43,Water Body Centerline,Update,Merge,2011-04-26T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,9af466a4-6c82-4319-8763-2e1c05919a9b,1580.28078160495
44,Water Body Centerline,Update,Merge,2011-06-17T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,c44960cd-94f5-483f-bf67-42622ba9278d,6091.73177022324
45,Water Body Centerline,Update,Merge,2011-06-17T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,5d52ebca-eb8c-458f-ba4f-92d20c3b44a2,2860.14227067734
46,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,c7240dcf-9c2a-4487-bba3-9a034aa2e065,50.8506866143864
47,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,cd09b107-7278-4852-b2d2-a92f79539764,77.1570285186176
48,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,4f5186c6-00cc-4fb5-ac9d-83951ff9151b,19.4186946760769
49,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,135cd18a-ea97-4cde-b4af-5b6e90ab872f,61.6219737255676
50,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,8a54047c-74f4-4819-9416-daac35961ecf,21.5373994058963
51,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,ba219c8b-8480-4a76-a0fc-0222bf600988,111.38164170473
52,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,6157f3ee-4d1a-43e9-82fe-4bc202ac821b,81.7020997962203
53,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,fb43edc8-f54d-4ce6-99ec-0a0643cc6372,27.1947606864364
54,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,590828ae-abe4-4480-a69f-fd26d0425300,40.196199091767
55,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,c7088e3e-62f6-465b-8214-af5b06ed2100,48.0530212308982
56,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,9a012ac4-910a-4164-8d09-ad5fa4af85e4,93.1186662528423
57,Water Body Centerline,Update,Merge,2011-06-17T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,2ca608ff-2987-4470-97d5-c00c3d541326,3019.84038921265
58,Water Body Centerline,Update,,2011-06-14T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,55bc1b2b-865a-4306-a779-acac3a6de85d,2462.85836856217
59,Water Body Centerline,Update,Merge,2011-06-17T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,687100b7-3928-43ef-be78-6015d096570d,17288.0199952122
60,Water Body Centerline,Update,,2011-04-05T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,4e6e7b93-4093-450b-832d-69d965f539d1,375.594352279022
61,Water Body Centerline,Update,Merge,2011-06-14T00:00:00.000Z,Hickory Run,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,fe73779f-9a05-4cc6-9237-4a5b083eb144,53820.5393363619
62,Water Body Centerline,Update,Merge,2011-06-16T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,c6e3d3a0-3e41-4efa-be45-709f67472984,8860.84117246591
63,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,f72215e0-a460-4476-97e8-e4c58df71310,21.5676995288542
64,Water Body Centerline,Update,Merge,2011-06-16T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,eaf046c8-1269-4d04-897a-60a4b8fd40bf,16661.6428798786
65,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,dcb00133-fadd-42e1-988b-9ac40d2aa600,63.6143027044875
66,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,7fcf5990-491d-4d1d-adae-4e7f4baa7395,65.2599985667778
67,Water Body Centerline,Update,,2011-06-14T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,669f74ef-e286-4465-adf0-6113c5d61186,931.745004259546
68,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,3068c675-499b-4abb-a81e-0fb24a1323d3,34.4457596123813
69,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,21cada49-eae6-4146-8d32-788f6e599363,281.068356127504
70,Water Body Centerline,Delete,,2011-04-05T00:00:00.000Z,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,ff6f645d-11e8-4f1d-b55f-7e6a05021658,79.2251587090694
71,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,366c511c-43e6-4e6f-a336-cfb448471bcd,183.650304212106
72,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,bc4a563a-1a0f-4d85-bbad-6e5459e79d02,23.240231087473
73,Water Body Centerline,Update,Merge / Flip,2011-06-16T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,01139a36-908c-43c6-903f-5d63b5ed04ad,5667.87372751104
74,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,bbc40c28-44ce-44dd-ba56-98b783ebddad,42.3172982510603
75,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,cfc7f6ed-1c07-4918-96c2-0b812ea47564,186.883179871729
76,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,e12ab8fc-7b1e-45dd-bbc0-e9e5ba760868,101.621154282035
77,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,98febb4e-f23b-42d1-bcf5-0c8ed8bcc919,99.3768083919844
78,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,2a1f9d39-c4d2-4f6d-a6d2-bc581a98d30a,63.967555412642
79,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,4c4107a9-9be7-401e-9273-2199edff368b,3170.10255040763
80,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,d1520b40-d278-4241-a2ca-ebacac8f5406,12390.9833305057
81,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,654c0ed2-8660-4005-ad60-f5ef6a0f65a5,1316.39734924157
82,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,9abdebf6-1328-4499-95d2-50e1cd18224c,7306.40299088755
83,Water Body Centerline,Update,Merge,2011-06-17T00:00:00.000Z,,,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,54043597-6db1-4b97-8f2d-6f85c36158c8,4338.83594052721
84,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,Hallock Creek,USGS,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,9d1a4301-12e7-4c86-9948-8f8bd9d21df3,33387.1399848792
85,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,929b8bbf-a996-43fe-8f83-4a4ea3456950,73.0046486876154
86,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,ca731669-44a7-4262-afe7-0178ae3b2285,2997.28961500699
87,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,ec4ce453-23c1-4218-8988-c30d45511ebd,1067.71955261744
88,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,2cc1927d-1bb7-4cbe-a9d7-433d48ee03fa,26598.3712333769
89,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,a56bbb56-5120-4815-abb2-b44578159f53,1498.72661126595
90,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,609af69a-3bc8-4e52-9e34-150d013ead3b,394.537096362451
91,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,37b8c509-11be-46e9-ada7-3698499736ad,677.004276425883
92,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,Henry Creek,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,5bf7f83f-ecd0-499f-a233-2638efef12d5,45186.0195245749
93,Water Body Centerline,Update,Merge/Flip,2011-04-25T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,ff344321-e5e2-4943-aa14-7587f90b6d57,30763.0165809932
94,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,9c7d0eca-c4de-4bcc-b716-b2c8408e335c,62.2284156601789
95,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,d6de092e-5f4c-44ae-9b1b-7e1beb87f597,60.1121373708316
96,Water Body Centerline,Update,,2011-06-15T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,217a8507-63be-4ee1-b677-a7cb92ac3b7a,1183.95235033246
97,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,e934ee5e-cb31-4738-8208-fb1fad2833f2,163.209335363314
98,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,04a5cded-1f5f-4864-a6da-15202e0b9225,1599.84627687391
99,Water Body Centerline,Update,,2011-06-15T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,159bfcdb-a13e-4429-82df-29daa81ae0fa,1448.27826539544
100,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,c42a37ff-6170-4fa4-835b-9ad1c754f7a4,46.3101483730443
101,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,b78b474b-6d88-4308-a414-22bb8b2991ba,41.1668048257567
102,Water Body Centerline,Update,Merge,2012-11-27T00:00:00.000Z,Senachwine Creek,USGS,T. Clark,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,7b61e556-f45c-44fb-9353-69f5e9f1b9e3,61091.6521383583
103,Water Body Centerline,Update,,2011-06-15T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,5f4bc916-40c8-4059-9fb6-907fcd4b53f5,624.462245534746
104,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,978abd72-9a54-4961-aa9c-243bdd3c36e0,77.0977564367199
105,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,4c60623f-919b-4950-ad2d-3f1adb01cbe0,63.9832365720886
106,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,ea097fc5-ed89-462c-b351-2299987ef12b,23.6248444095447
107,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,a2d3330d-d78b-40e8-8c82-66234beb78f5,196.004850229379
108,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,2827e7ef-5b18-4152-9a6a-4dc758e84ee2,60.1285098066015
109,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,98bf8968-6503-4e31-bb18-321aeeaeb323,115.970310180302
110,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,Gilfillan Creek,USGS,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,24407bca-e8ed-4d6c-9d84-448ac44cd1aa,14286.297860384
111,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,0d904815-432a-44e7-9424-ebd8bc28c82b,399.367109963901
112,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,853b6c39-a0b6-4d7f-b5f1-fbd91ec95741,153.163707180765
113,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,North Creek,USGS,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,029b3f8b-03ee-4d7e-8cb5-22c26da77924,23918.4288288452
114,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,e70319b2-ad98-415d-8759-f1472065c161,134.693891130571
115,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,40299e7e-afb8-4338-a9e0-72d6666f7206,145.109512881814
116,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,aae40cbc-26b0-4cdc-bdab-b2b1f7a0a1f5,9148.04072050606
117,Water Body Centerline,Update,,2011-04-25T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,0279ea2a-23a4-477b-ae59-bd7c1ea8dc3d,2098.77381120627
